34,17,17 85,102,85 170,153,153
119,119,119 136,119,119 136,119,119
119,119,119 187,187,170 187,170,170
136,119,119 119,119,119 119,119,119
136,119,119 136,136,136 136,136,136
136,136,136 136,119,119 119,119,119
136,136,136 153,136,136 153,153,136
153,136,136 153,153,136 153,136,136
153,136,136 153,153,136 153,153,153
153,153,153 136,136,136 136,136,136
153,153,153 153,153,153 153,153,136
153,153,153 170,153,153 153,153,153
170,153,153 170,170,170 170,170,170
187,170,170 187,187,170 187,187,187
187,187,187 187,187,187 187,187,170
