51,51,51 102,102,102 153,153,136
101,101,101 79,67,67 102,102,102
102,104,101 80,70,67 102,102,102
108,107,104 85,73,70 102,102,102
130,106,101 79,67,67 102,102,102
136,136,136 68,68,68 34,34,34
153,136,136 136,136,136 170,153,153
153,153,153 153,153,153 170,153,153
153,153,153 170,170,153 170,170,170
153,153,153 221,221,221 238,221,221
159,156,153 127,113,111 102,102,102
170,153,153 170,170,153 170,170,170
170,153,153 170,170,170 170,170,170
170,153,153 187,187,187 187,187,170
170,170,153 153,136,136 102,102,85
170,170,170 187,187,187 187,187,187
187,170,170 187,170,170 187,187,187
187,187,187 204,204,204 204,204,204
196,163,101 158,119,67 102,102,102
221,221,221 238,238,221 221,221,221
