# chests on
12,28,15
12,31,15
13,32,15
10,31,15
9,30,15
7,28,15
6,30,15
6,26,15
4,22,15
3,20,15
10,34,15
13,35,15
15,38,15
17,39,15
18,35,15
16,32,15
17,29,15
8,33,15
5,36,15
7,37,15
8,40,15
10,43,15
6,45,15
3,45,15
4,43,15
2,41,15
2,36,15
4,33,15
2,31,15
3,28,15
2,24,15
11,39,15
14,40,15
14,43,15
12,43,15
15,45,15
18,42,15
21,41,15
21,43,15
23,45,15
26,43,15
30,44,15
33,44,15
37,43,15
34,41,15
35,39,15
39,39,15
38,37,15
41,36,15
44,38,15
44,42,15
42,44,15
40,44,15
40,43,15
40,40,15
33,38,15
35,36,15
37,33,15
35,30,15
34,33,15
30,35,15
31,32,15
31,29,15
27,34,15
31,38,15
30,38,15
27,37,15
24,37,15
24,35,15
28,40,15
25,39,15
26,31,15
27,28,15
32,28,15
35,26,15
39,26,15
36,29,15
41,25,15
44,25,15
45,29,15
44,32,15
42,34,15
39,32,15
42,28,15
40,20,15
45,19,15
43,20,15
39,19,15
38,17,15
40,15,15
43,16,15
44,13,15
42,10,15
41,11,15
40,13,15
37,12,15
35,15,15
38,9,15
34,9,15
34,14,15
33,18,15
33,19,15
34,21,15
30,21,15
28,18,15
26,20,15
26,16,15
24,14,15
25,10,15
26,10,15
29,12,15
37,8,15
37,7,15
37,3,15
39,5,15
41,4,15
42,4,15
45,3,15
45,4,15
33,5,15
30,8,15
30,4,15
28,5,15
24,4,15
22,7,15
23,3,15
26,3,15
31,2,15
30,2,15
25,1,15
17,2,15
14,2,15
11,2,15
11,4,15
8,5,15
8,10,15
5,7,15
3,6,15
7,3,15
6,1,15
1,8,15
3,9,15
5,11,15
8,12,15
11,14,15
12,12,15
13,9,15
15,7,15
16,10,15
18,8,15
16,5,15
15,15,15
5,15,15
5,16,15
9,16,15
6,19,15
9,21,15
11,19,15
14,18,15
17,17,15
