6,35,7
6,34,7
16,35,7
19,36,7
22,38,7
23,41,7
24,44,7
21,44,7
20,42,7
19,44,7
17,44,7
16,43,7
14,44,7
14,43,7
13,39,7
21,40,7
18,39,7
16,38,7
16,40,7
25,45,7
27,43,7
30,44,7
33,44,7
34,43,7
36,45,7
36,43,7
38,43,7
39,44,7
41,44,7
43,44,7
44,42,7
43,39,7
41,38,7
44,38,7
44,36,7
44,34,7
42,35,7
39,35,7
37,34,7
35,33,7
33,32,7
32,33,7
31,32,7
29,32,7
32,30,7
26,31,7
25,32,7
28,34,7
28,34,7
28,36,7
30,36,7
27,37,7
27,39,7
32,41,7
33,41,7
24,33,7
23,30,7
25,29,7
27,29,7
28,27,7
30,24,7
31,22,7
33,20,7
21,31,7
18,30,7
15,30,7
13,28,7
10,28,7
9,30,7
7,29,7
6,28,7
5,30,7
3,29,7
1,25,7
5,32,7
2,33,7
2,31,7
22,34,7
24,37,6
24,38,6
25,34,6
26,33,6
28,36,6
29,33,6
29,31,6
29,29,6
25,30,6
23,31,6
21,33,6
22,37,6
21,41,6
21,44,6
19,45,6
17,44,6
14,44,6
13,42,6
14,40,6
15,38,6
13,37,6
12,35,6
12,34,6
15,32,6
18,32,6
18,35,6
17,37,6
18,39,6
13,31,6
11,30,6
8,30,6
7,28,6
5,31,6
5,31,6
4,33,6
6,34,6
6,34,6
3,27,6
1,31,6
2,34,5
1,32,5
3,34,5
23,41,6
23,44,6
25,45,6
27,42,6
28,41,6
31,41,6
33,42,6
33,44,6
31,44,6
36,44,6
39,43,6
41,44,6
43,43,6
45,42,6
43,40,6
45,38,6
42,38,6
40,40,6
42,36,6
41,35,6
40,36,6
40,32,6
39,30,6
41,30,6
42,33,6
44,35,6
45,33,6
45,29,6
43,28,6
40,27,6
45,25,6
45,21,6
44,18,6
44,14,6
45,13,6
45,11,6
44,8,6
43,7,6
42,5,6
44,6,6
45,3,6
42,2,6
40,2,6
38,4,6
39,5,6
40,6,6
36,6,6
33,7,6
34,5,6
33,2,6
31,1,6
30,3,6
30,6,6
31,9,6
32,12,6
33,15,6
34,17,6
37,17,6
38,13,6
39,16,6
40,14,6
41,12,6
41,10,6
41,10,6
42,16,6
40,18,6
43,18,6
42,22,6
39,23,6
38,20,6
38,22,6
36,22,6
34,22,6
36,24,6
37,28,6
36,30,6
35,27,6
33,26,6
33,28,6
34,32,6
33,33,6
35,34,6
38,33,6
31,32,6
30,28,6
29,26,6
29,24,6
31,21,6
32,19,6
36,19,6
32,36,6
33,39,6
