Aaritiots,GARBAGE
AcFinds,GARBAGE
Achien,DEFAULT
AdeptsofDarkness,WORD_OF_DEATH
AerialM,GARBAGE
AerialMists,ELEMENTAL
Ahropods,GARBAGE
AirElementals,ELEMENTAL
AlbinoBears,LEPROSY
Alligators,LEPROSY
AlteringBeasts,LEPROSY
Alumk,GARBAGE
Alumniks,LEPROSY
Amnik,GARBAGE
AncientProtectors,WORD_OF_DEATH
Animals,DEFAULT
AnimatedTrunks,LEPROSY
Ant,LEPROSY
Ants,FIGHT
Apparitionist,LEPROSY
Appitioists,GARBAGE
ArDevils,GARBAGE
ArFien,GARBAGE
ArcMeister,ELEMENTAL
Arceils,GARBAGE
Arcev,GARBAGE
Arcevils,GARBAGE
ArchDe,GARBAGE
ArchDels,GARBAGE
ArchDevil,DEVIL
ArchDviC,GARBAGE
ArchFiend,DEVIL
ArchFiends,DEVIL
Archils,GARBAGE
Archnd,GARBAGE
Arciend,GARBAGE
ArhFied,GARBAGE
Arialst,GARBAGE
Arthropod,LEPROSY
Artods,GARBAGE
Asps,LEPROSY
Asteryex,DEATH_DRAIN
Attorneus,DEVIL
AzureGiantBadger,LEPROSY
Bahe,GARBAGE
Bane,GARBAGE
Banees,GARBAGE
Bans,GARBAGE
Bansh,GARBAGE
Banshee,UNDEAD
BansheeVampire,GARBAGE
Banshees,UNDEAD
Bansheesoul,GARBAGE
Barbari,DEFAULT
Barbarians,LEPROSY
BarbedThorn,FIGHT
Barbs,GARBAGE
BarfPiles,DEATH_DRAIN
Bashs,GARBAGE
Bchi,GARBAGE
BckDran,GARBAGE
Beci,GARBAGE
Beec,GARBAGE
Beechi,LEPROSY
Behi,GARBAGE
BentEnt,DEFAULT
Bhees,GARBAGE
BlFly,GARBAGE
BlacBe,DEFAULT
BlackBears,LEPROSY
BlackD,GARBAGE
BlackDeath,WORD_OF_DEATH
BlackDervish,DEVIL
BlackDragon,LEPROSY
BlackEels,LEPROSY
BlackFly,FIGHT
BlackGrengi,LEPROSY
BlackWolves,LEPROSY
BlackWyvern,LEPROSY
BlackYundruns,LEPROSY
BlackYunn,GARBAGE
Blackolf,GARBAGE
Blackvrns,GARBAGE
Blao,DEFAULT
Blaragons,GARBAGE
BlckWolf,GARBAGE
Bleath,GARBAGE
Blevern,GARBAGE
BloodSuckers,FIGHT
BluWyv,GARBAGE
BlueGremlins,FIGHT
BlueSlime,DEATH_DRAIN
BlueSmes,GARBAGE
BlueWyverns,LEPROSY
Bluerein,GARBAGE
Bluerns,GARBAGE
Bmli,GARBAGE
Boogers,FIGHT
Bras,GARBAGE
Braves,LEPROSY
Brigands,LEPROSY
BringerofDeath,UNDEAD
Brn,GARBAGE
Broear,GARBAGE
Browea,GARBAGE
BrownBa,GARBAGE
BrownBears,LEPROSY
BrownBearsneinsighti,GARBAGE
BrownDra,GARBAGE
BrownDragons,LEPROSY
BrownTyk,GARBAGE
BrownTykes,LEPROSY
Brragons,GARBAGE
Brrow,GARBAGE
BrwnBear,GARBAGE
BrwnBer,GARBAGE
Buido,GARBAGE
BullSna,DEFAULT
BullSnakes,LEPROSY
Burglars,LEPROSY
Burrows,LEPROSY
Busharts,LEPROSY
Bushidos,LEPROSY
Busho,GARBAGE
ButcerCampion,GARBAGE
Butch,GARBAGE
Butchers,LEPROSY
Buter,GARBAGE
CaeoSls,GARBAGE
Cals,GARBAGE
Cannibal,LEPROSY
Cannils,GARBAGE
CarrionCrawlers,LEPROSY
Cas,GARBAGE
Castersof,GARBAGE
CastersofSouls,LEPROSY
Castersul,GARBAGE
CastrSou,GARBAGE
Cave,GARBAGE
CaveBear,LEPROSY
Cbra,GARBAGE
Ccbff,DEFAULT
Cda,DEFAULT
Cec,DEFAULT
Cenrs,GARBAGE
Cent,GARBAGE
Centaur,LEPROSY
Cfd,GARBAGE
Cff,DEFAULT
Champi,GARBAGE
Champion,LEPROSY
Chaon,GARBAGE
Chardons,LEPROSY
Chu,GARBAGE
Chukas,LEPROSY
Cntaurs,GARBAGE
Cobr,GARBAGE
Cobras,LEPROSY
Cockatrices,LEPROSY
Conjer,GARBAGE
Conjurers,LEPROSY
Conr,GARBAGE
Conre,GARBAGE
Cora,GARBAGE
Corpsers,UNDEAD
Cors,DEFAULT
Courriers,LEPROSY
Courrr,GARBAGE
Coutals,WORD_OF_DEATH
CreepingSkanks,WORD_OF_DEATH
Criminals,LEPROSY
Crpss,GARBAGE
CrvstalSis,GARBAGE
CrystalSpiders,LEPROSY
Ctaurs,GARBAGE
Cutpurses,LEPROSY
Cutthroats,LEPROSY
Cyclops,LEPROSY
DTigers,GARBAGE
Daemnlncubi,GARBAGE
Daemon,DEMON
DaemonLord,DEMON
DakTige,GARBAGE
Dakemon,GARBAGE
DarFli,GARBAGE
DarenGuar,GARBAGE
DarkAssassins,WORD_OF_DEATH
DarkDemons,DEMON
